fecha,Buenos Aires,Cordoba,Tucuman,Mendoza,Santa Fe,Santiago del estero
2022-05-26,0.10275082699269868,0.12456181608565532,0.08985054886403318,0.1061668503189216,0.12668213917619667,0.09281344931943838
2022-05-27,0.09062636166852601,0.040906126653715284,0.06025680101522403,0.08496396802346413,0.1502211634407034,0.08872217419264139
2022-05-28,0.0908565830550889,0.042757065361654724,0.0672765103154714,0.07029574675042348,0.08792678560768044,0.0634801730754489
2022-05-29,0.09633177880171392,0.09032632243930964,0.08490321410068778,0.16619084839297424,0.2558543667507134,0.08365755808303867
2022-05-30,0.0848284722738169,0.10290253149342668,0.05350863383120766,0.12988427693190394,0.17906607986536427,0.1549277974567926
2022-05-31,0.17736161185364577,0.10642075243593464,0.1311223946820007,0.11878815117295201,0.25585947623027305,0.11991294927811612
2022-06-01,0.09386956841985965,0.10597664752546943,0.09656444287041262,0.1713683192510222,0.23910178891150416,0.053349040571947656
2022-06-02,0.16538347926923055,0.14374443243868812,0.13201865897739504,0.19131267187324005,0.2182515252390826,0.18835008143885804
2022-06-03,0.16720127888625594,0.10367295513789933,0.10140883872620102,0.14029620600289175,0.12156324534971882,0.10280523226180183
2022-06-04,0.09303370852215513,0.03958122265678652,0.09719338767816109,0.11552683216489361,0.17457423555628593,0.07288032587942463
2022-06-05,0.09622372990448208,0.1689839880537823,0.03325863694508931,0.08950344982596917,0.07111005380412548,0.06500002863626016
2022-06-06,0.08771008218906165,0.08203052368730772,0.09397760976954578,0.12817079887016322,0.16222920299098725,0.1390720110417688
2022-06-07,0.0923952462359185,0.07298072713327204,0.11847459663778472,0.12354836458563277,0.18298334536762342,0.07295804900126857
2022-06-08,0.16405111907862718,0.10622833893946923,0.18582780692885062,0.1752073729014124,0.26932756940260216,0.1367074071912227
2022-06-09,0.17149960298939143,0.14254314451662536,0.16461667115562412,0.17208991224430262,0.25648795116723144,0.16707742878863574
2022-06-10,0.0707970461526375,0.0794970120507579,0.10344299365327558,0.10870565199575659,0.06742993371260028,0.045562141095414635
2022-06-11,0.03377073989646147,0.05842974590459246,0.06638494195830857,0.11105003992955502,0.09215102554199904,0.06436800796363006
2022-06-12,0.04964226493126458,0.1074195722191045,0.044979712280121424,0.11387823236039955,0.3410150935205273,0.02106465172460212
2022-06-13,0.04167707312719046,0.029046749078239564,0.06931993849766899,0.08171841337065379,0.1569910506007304,0.020987085100440298
2022-06-14,0.05943303189278031,0.04784138334115123,0.09398108574581686,0.1519685297727762,0.10442803022126033,0.10493759918119955
2022-06-15,0.08291572945445226,0.06104887785526893,0.11763574957498989,0.16368543027552077,0.12448951090726106,0.09895443538799868
2022-06-16,0.09424665236781378,0.07627496894885076,0.04634872541462556,0.11518822815456022,0.25748349195469744,0.11709192285754835
2022-06-17,0.05865830910534825,0.053835415355545764,0.06416314548896254,0.09431020219855799,0.08843196668963371,0.05970494315506787
